trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
297,False,"{'a': 0.5, 'e': 0.4059999999999995}",20,11,17.199136021601532,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.40399999999999947}",20,15,1.8881346163355222,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.40199999999999947}",30,15,-41.20976135952849,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
300,False,"{'a': 0.5, 'e': 0.39999999999999947}",25,18,0.937920603234841,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.39799999999999947}",25,9,11.465999043763397,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.39599999999999946}",30,19,6.770596783047435,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
303,False,"{'a': 0.5, 'e': 0.39399999999999946}",25,16,4.531996416552888,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.39199999999999946}",20,1,9.917078109671115,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.38999999999999946}",25,9,6.357605969971168,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.38799999999999946}",25,13,14.84657288737127,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.5, 'e': 0.38599999999999945}",20,3,-12.502746130287106,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
308,False,"{'a': 0.5, 'e': 0.38399999999999945}",20,4,-33.49361039333051,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
309,False,"{'a': 0.5, 'e': 0.38199999999999945}",20,0,29.055082897662945,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
